File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,13.08,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,22.95,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,31.96,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,54.76,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,78.12,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,110.94,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,166.18,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,265.68,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,380.64,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,558.46,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,676.78,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,849.29,CJetReconstruction,unknown,AntiKt,N2Plain,0.2,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,15.07,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,25.34,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,41.25,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,76.25,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,107.68,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,152.28,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,227.62,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,357.88,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,509.44,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,736.42,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,847.16,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,1064.19,CJetReconstruction,unknown,AntiKt,N2Plain,0.4,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,16.99,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,28.29,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,55.0,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,100.07,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,130.87,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,174.17,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,275.92,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,395.21,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,551.11,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,799.95,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,902.17,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,1145.65,CJetReconstruction,unknown,AntiKt,N2Plain,1.0,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,17.36,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,27.59,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,55.54,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,101.44,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,136.89,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,177.1,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,258.61,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,393.73,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,552.92,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,792.64,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,898.63,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,1114.35,CJetReconstruction,unknown,AntiKt,N2Plain,1.5,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,17.39,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,29.62,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,59.3,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,97.33,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,132.26,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,174.94,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,276.44,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,402.9,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,566.33,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,794.66,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,940.88,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,1134.56,CJetReconstruction,unknown,AntiKt,N2Plain,2.0,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,17.75,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,28.0,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,56.13,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,96.29,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,133.2,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,171.5,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,262.47,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,392.13,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,550.63,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,777.91,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,877.96,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,1109.01,CJetReconstruction,unknown,AntiKt,N2Plain,3.0,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,15.71,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,26.96,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,25.25,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,35.93,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,45.63,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,57.18,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,70.68,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,92.92,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,117.82,CJetReconstruction,unknown,AntiKt,N2Tiled,0.2,-1,JuliaC,0.3.1
