fastjet,juliac
322.36,5110.96
323.85,370.45
322.20,295.51
322.75,296.19
323.90,298.52
319.66,297.98
319.30,299.57
319.96,297.59
320.29,299.19
319.68,298.32
319.59,298.13
321.93,296.83
323.55,299.16
322.94,298.79
323.39,299.44
322.66,298.46
324.62,300.20
323.87,298.17
323.90,317.11
324.18,312.42
324.50,297.54
323.59,297.31
324.03,298.74
324.17,297.10
323.41,298.24
324.48,297.15
323.20,300.39
324.31,297.66
323.72,298.89
327.43,298.42
324.23,299.24
323.67,298.00
328.48,297.68
328.56,296.89
347.59,300.02
318.72,296.98
320.49,297.77
324.31,297.03
323.56,298.71
324.00,298.60
324.19,298.78
324.09,297.61
323.67,299.14
323.14,298.26
323.42,300.04
324.38,298.16
324.81,299.89
325.17,298.06
324.75,300.09
325.09,298.32
324.84,298.97
324.92,298.01
325.00,298.82
325.58,297.83
323.85,298.01
325.07,297.49
324.16,298.56
326.02,297.09
323.38,297.13
323.82,295.14
324.36,296.22
329.74,295.31
323.99,295.83
322.92,295.20
322.70,296.56
323.56,294.86
323.65,295.90
322.69,294.93
323.37,295.93
323.37,295.12
321.77,296.21
323.06,294.89
323.98,296.10
323.68,295.31
323.00,296.18
323.50,295.21
323.41,295.54
319.94,295.13
318.31,296.26
331.89,294.85
331.87,295.87
330.80,295.76
330.49,296.05
330.68,295.01
331.04,296.13
329.86,295.55
330.61,295.68
330.48,296.30
331.79,295.95
329.65,295.03
330.24,296.66
331.15,295.18
330.33,296.45
330.64,295.82
330.47,310.80
330.16,310.08
330.50,298.30
330.58,296.20
330.85,295.40
330.44,295.27
